,date_witness,date_agent,witness,agent,latitude,longitude,city,country,region_hq,has_weapon,has_hat,has_jacket,behavior
0,1997-08-01,1997-09-16,Eric Edwards,Gerald Green,33.92866,-6.90656,Temara,MA,Casablanca,False,False,True,fleeing
1,1987-04-16,1987-05-22,Kenneth Sparks,Kimberly Gibson,-27.76952,30.79165,Vryheid,ZA,Johannesburg,False,True,True,scared
2,1985-07-27,1985-08-21,Douglas Brown,Margaret Ortega,36.08497,9.37082,Siliana,TN,Tunis,False,True,True,talkative
3,2007-11-02,2007-11-07,Elizabeth Webb,Edward Anderson,7.62789,4.74161,Ilesa,NG,Lagos,False,False,True,evasive
4,2001-11-01,2001-11-11,David Jefferson,Matthew Brown,34.15429,3.50309,Messaad,DZ,Algiers,False,True,True,silent
5,2008-11-04,2008-12-29,Michael Spears,Christina Krause,12.18441,18.69303,Mongo,TD,Ndjamena,False,True,True,over-complimenting
6,2008-01-21,2008-02-18,Leah Fitzgerald,Daniel Moore,9.89206,43.38531,Baki,SO,Mogadishu,True,False,True,fleeing
7,1993-03-11,1993-04-23,Courtney Cantu,Robert Baird,-10.33333,39.28333,Nyangao,TZ,Dar es Salaam,False,False,True,out-of-control
8,1990-03-26,1990-05-24,Brittney Knight,Jeremy Mccullough,36.72544,3.55665,Thenia,DZ,Algiers,False,True,True,confessing
9,1990-05-18,1990-06-04,Christopher Cummings,Charles Mitchell,-4.83,29.65806,Mwandiga,TZ,Dar es Salaam,False,True,False,tense
10,2008-09-06,2008-10-23,Thomas Brown,Thomas Hamilton,-6.8,39.25,Magomeni,TZ,Dar es Salaam,False,True,True,out-of-control
11,1991-01-14,1991-02-24,April Sampson,Kevin Contreras,7.57944,-8.53778,New Yekepa,LR,Monrovia,False,True,True,complaining
12,2010-10-21,2010-10-30,Darlene West,Jeffery Blair,36.06386,4.62744,El Achir,DZ,Algiers,False,False,True,tense
13,2010-12-08,2011-01-22,James Greene,Stephen Ferguson,33.43443,-5.22126,Azrou,MA,Casablanca,False,True,False,out-of-control
14,1992-07-10,1992-08-04,Casey Chapman,Timothy Davis,-1.9487,30.4347,Rwamagana,RW,Kigali,False,False,True,sad
15,2013-02-20,2013-03-21,Jaime Ford,Darrell Crawford,-26.93366,29.24152,Standerton,ZA,Johannesburg,True,True,True,friendly
16,2020-09-06,2020-09-23,Sharon Figueroa,Alexis Conway PhD,-11.78333,19.91667,Luena,AO,Luanda,False,True,True,unhappy
17,2018-10-22,2018-12-19,Michael Miller,Gordon Jimenez,12.74482,4.52514,Argungu,NG,Lagos,True,True,True,scared
18,2017-07-01,2017-08-23,Jacob Rogers,Kathleen Hicks,11.8659,34.3869,Ar Ruseris,SD,Khartoum,False,True,True,paranoid
19,2006-01-15,2006-02-25,Susan Davis,Beth Cuevas,7.06273,-1.4001,Mampong,GH,Accra,False,False,False,talkative
20,1987-06-18,1987-06-28,Heidi Jenkins,Marie Hill,7.57944,-8.53778,New Yekepa,LR,Monrovia,False,False,True,confessing
21,1985-11-26,1985-12-08,Christina Boone,Caleb Cook,6.45407,3.39467,Lagos,NG,Lagos,False,False,True,happy
22,2005-12-19,2005-12-29,Lori Parker,Aaron Nguyen,5.30383,-1.98956,Tarkwa,GH,Accra,True,True,True,paranoid
23,2010-12-29,2011-01-22,Jonathan Page,Bethany Chen,-5.41667,38.01667,Chanika,TZ,Dar es Salaam,False,False,True,friendly
24,2002-07-27,2002-07-27,Colton Jones,Allen Baker,0.76755,24.43973,Yangambi,CD,Lubumbashi,False,True,False,over-complimenting
25,1985-08-11,1985-09-30,Raymond Mccullough,Nicole Adams,35.21222,2.31889,Ksar Chellala,DZ,Algiers,False,False,True,silent
26,2005-01-19,2005-03-14,Sonya Kirby,Jacob Santiago,4.2475,9.00472,Idenao,CM,Douala,False,False,False,paranoid
27,1993-04-08,1993-05-28,David King,Lauren Smith,-5.41667,38.01667,Chanika,TZ,Dar es Salaam,True,True,True,fleeing
28,1999-01-25,1999-02-02,Jennifer Lopez,Brandon Miller,-21.98333,16.91667,Okahandja,,Windhoek,False,True,True,out-of-control
29,2008-12-19,2008-12-20,Melissa Miller,Sandra Ramos,-4.06667,37.73333,Same,TZ,Dar es Salaam,False,False,True,lonely
30,1990-12-19,1991-01-05,Shelby Bartlett,John Barr,8.88649,2.59753,Tchaourou,BJ,Porto-Novo,False,False,True,silent
31,2009-02-01,2009-02-17,Dylan Moyer,Randy Simmons,3.27833,32.88667,Kitgum,UG,Kampala,False,True,True,happy
