,date_witness,date_agent,witness,agent,latitude,longitude,city,country,region_hq,has_weapon,has_hat,has_jacket,behavior
0,2007-07-23,2007-08-24,Cynthia Howell,Kathleen Munoz,8.35122,-62.64102,Ciudad Guayana,VE,Caracas,False,True,True,fleeing
1,1998-12-17,1998-12-22,Travis Austin,Jennifer Swanson,33.54428,-84.23381,Stockbridge,US,New York,True,True,True,tense
2,2015-01-22,2015-02-11,David Erickson,Eric Roberts,46.1351,-60.1831,Sydney,CA,Glace Bay,False,True,True,injured
3,2011-12-07,2012-02-02,Andrew Ramirez,Grant Humphrey,14.67751,-60.94228,Le Robert,MQ,Martinique,False,True,True,friendly
4,2010-01-30,2010-02-15,Abigail Andrews,Paul Rogers,42.4251,-71.06616,Malden,US,New York,False,False,True,scared
5,2008-09-16,2008-09-23,Andrea Myers,Austin Williams,20.28527,-103.42897,Jocotepec,MX,Mexico City,False,False,True,complaining
6,1991-07-08,1991-07-26,William Rodriguez,Kelly Lindsey,8.79577,-75.69947,San Carlos,CO,Bogota,False,False,False,hostile
7,2002-05-23,2002-07-17,Dr. Robert Kirk,Kim Dyer,-19.32556,-41.25528,Resplendor,BR,Sao Paulo,False,True,True,injured
8,2015-12-12,2015-12-29,Aaron Lee,Elizabeth Cook,32.5007,-94.74049,Longview,US,Chicago,False,False,True,panicking
9,2003-02-10,2003-04-09,Michael Weaver,Nancy White,33.95015,-118.03917,South Whittier,US,Los Angeles,False,True,True,out-of-control
10,2018-03-19,2018-05-07,Kevin Terry,Stephen Ferguson,39.96097,-75.60804,West Chester,US,New York,False,False,True,unhappy
11,2003-08-09,2003-08-16,Linda Fox,Ronald Wong PhD,10.98778,-74.95472,Puerto Colombia,CO,Bogota,True,False,True,confessing
12,2001-05-14,2001-05-15,Anthony Williams,Matthew Chavez,41.66394,-83.55521,Toledo,US,New York,False,False,True,complaining
13,2019-05-06,2019-06-12,Laura Thomas,Steven Edwards,13.70167,-89.10944,Ilopango,SV,El Salvador,False,True,True,friendly
