,sighting,报道,citizen,officer,纬度,经度,city,nation,city_interpol,has_weapon,has_hat,has_jacket,behavior
0,1995-09-27,1995-10-13,Caleb Jones,Karen Keller MD,40.11583,67.84222,Jizzax,UZ,Samarkand,False,True,True,tense
1,1996-09-12,1996-09-18,John Archer,Kelly Barnes,33.37526,74.3092,Rajaori,IN,Kolkata,False,True,True,confessing
2,2005-10-14,2005-12-12,Shane Taylor,Laura Parks,14.95472,120.89694,Baliuag,PH,Manila,False,False,True,confessing
3,2014-12-23,2015-01-28,Tyler Wilkins,Nicholas Powell,14.46693,75.92694,Davangere,IN,Kolkata,False,True,True,unhappy
4,2003-07-05,2003-07-14,Brandon Hernandez,Mackenzie Gilbert,21.34222,71.30633,Kundla,IN,Kolkata,True,True,True,paranoid
5,1988-08-09,1988-09-24,Mr. Alex Adkins,Jeremy Mason,6.84019,79.87116,Dehiwala-Mount Lavinia,LK,Colombo,False,True,True,out-of-control
6,2016-06-11,2016-07-14,Brittany Mendoza,Samuel Jackson,12.37169,123.62494,Masbate,PH,Manila,False,True,True,lonely
7,2003-09-26,2003-11-15,Karen Young,Tanya Conley,15.58552,102.42587,Bua Yai,TH,Bangkok,False,True,True,injured
8,1990-07-14,1990-07-14,Jason Shelton,Charlene Mccormick,29.21399,78.95693,Kashipur,IN,Kolkata,False,False,True,friendly
9,2014-01-15,2014-02-12,Miranda Leach,Gerald Green,36.53333,136.61667,Nonoichi,JP,Tokyo,False,True,True,talkative
10,2001-07-05,2001-08-20,Lisa Harper,Stacey Morris,4.02219,101.02083,Teluk Intan,MY,Kuala Lumpur,False,True,True,oblivious
11,1987-01-13,1987-02-12,Carl Green,Darrell Crawford,35.06667,135.21667,Sasayama,JP,Tokyo,False,False,True,lonely
12,1989-05-17,1989-06-13,Sean Ward,Mrs. Amy Munoz PhD,31.39547,34.75699,Rahat,IL,Jerusalem,False,False,True,sad
13,1985-11-27,1985-11-28,Matthew Livingston,Matthew Brown,10.31672,123.89071,Cebu City,PH,Manila,False,True,True,oblivious
