,date_witness,date_filed,witness,agent,lat_,long_,city,country,region_hq,armed?,chapeau?,coat?,observed_action
0,2015-05-02,2015-05-28,Kyle Washington,Leslie Anderson,53.00974,-3.05814,Rhosllanerchrugog,GB,London,False,True,True,sad
1,2013-03-12,2013-04-02,Manuel Tate,Natalie Jordan,37.08819,-8.2503,Albufeira,PT,Lisbon,False,False,False,fleeing
2,1987-02-07,1987-03-16,Daniel Roberts,Susan Thomas,48.46458,9.22796,Pfullingen,DE,Berlin,False,True,True,lonely
3,2006-04-21,2006-04-29,Rachel Gregory,Richard Reyes,48.90472,2.2469,La Garenne-Colombes,FR,Paris,False,True,True,evasive
4,2004-10-11,2004-11-01,James Reed,Meredith Gibbs,46.32313,-0.45877,Niort,FR,Paris,False,True,True,sad
5,2022-03-31,2022-05-02,Randy Stokes,Ashley Taylor,48.86667,2.08333,Marly-le-Roi,FR,Paris,False,True,False,paranoid
6,1992-03-03,1992-03-30,David Cisneros,Lauren Mccoy,39.59611,27.02444,Edremit,TR,Istanbul,True,True,True,worried
7,2005-05-12,2005-07-09,Ashley Walker,Ray Hall,51.20219,7.36027,Radevormwald,DE,Berlin,False,True,True,tense
8,1993-01-07,1993-01-31,Laura Brown,Brooke Crawford,53.93361,37.92792,Kireyevsk,RU,Moscow,False,False,False,unhappy
9,1994-11-04,1994-12-29,Melanie Graves,Steven Edwards,40.98894,28.67582,Yakuplu,TR,Istanbul,True,True,True,tense
10,2015-10-06,2015-10-25,Donna Hamilton,Kendra Mercado,51.95838,4.47124,Schiebroek,NL,Amsterdam,False,True,True,lonely
11,1990-12-23,1991-02-13,Dr. Eugene Carlson MD,Kendra Miller,51.95838,4.47124,Schiebroek,NL,Amsterdam,False,False,True,unhappy
12,1995-07-04,1995-07-07,Benjamin Andrews,Kelly Lindsey,41.20485,-8.33147,Paredes,PT,Lisbon,False,False,True,out-of-control
13,2004-01-01,2004-02-22,Scott Stone,Mr. Frederick Bryant,60.02427,30.28491,Kolomyagi,RU,Moscow,False,True,True,scared
14,1989-10-17,1989-11-14,Elizabeth Butler,Wesley Horton,50.79205,-1.08593,Southsea,GB,London,False,True,True,paranoid
15,2018-12-29,2019-01-02,Amy Gonzales,Jane Hall,53.0233,-1.48119,Belper,GB,London,False,True,True,evasive
16,2001-05-16,2001-07-10,Jesse Hoffman,Angel Payne,45.78071,12.84052,Portogruaro,IT,Rome,False,True,True,out-of-control
17,2011-03-02,2011-03-20,Joseph Thompson,Sherry Aguilar,50.80019,7.20769,Siegburg,DE,Berlin,False,True,True,evasive
18,2013-12-28,2014-01-26,Todd Rivera,Adam Smith,50.82709,6.9747,Wesseling,DE,Berlin,True,True,True,sad
19,2004-09-13,2004-09-27,Phillip Jenkins,Dana Parker,51.30001,13.10984,Oschatz,DE,Berlin,False,False,False,scared
20,1996-11-18,1996-12-07,Danielle Castro,Teresa Diaz,48.43174,17.8031,Hlohovec,SK,Bratislava,False,False,True,hostile
21,1985-04-27,1985-05-20,Perry Mcclain,Andrea Watkins,48.8449,17.22635,Skalica,SK,Bratislava,False,True,True,tense
22,2017-11-27,2017-12-23,Tanner Beck,Julie Nguyen,61.72744,17.10558,Hudiksvall,SE,Stockholm,False,False,True,unhappy
23,2000-11-12,2000-11-29,Scott Hunt,Bryce Alvarado,44.31771,9.32241,Chiavari,IT,Rome,False,False,True,confessing
24,1991-11-12,1991-12-17,Andrew Davis,Nicole Hinton,48.98693,2.44892,Gonesse,FR,Paris,False,False,True,complaining
25,2020-05-23,2020-05-24,Anthony Gomez,David Simmons,60.18427,24.95034,Kallio,FI,Helsinki,True,True,False,evasive
26,1995-05-13,1995-05-13,Helen Diaz,Tiffany Morrison,61.78491,34.34691,Petrozavodsk,RU,Moscow,False,False,True,unhappy
27,1997-09-10,1997-10-12,Michael White,Jason Berg,37.35813,-6.03731,San Juan de Aznalfarache,ES,Madrid,False,False,True,silent
28,1991-01-10,1991-03-04,Daniel Ingram,Matthew Chavez,46.32313,-0.45877,Niort,FR,Paris,False,True,True,unhappy
29,1987-02-28,1987-04-24,Samuel Davis,Frank Gutierrez,53.63333,9.85,Halstenbek,DE,Berlin,False,True,True,scared
30,2018-01-20,2018-02-26,Laura Montoya,Larry Wiggins,53.43333,-7.95,Athlone,IE,Dublin,False,True,True,worried
31,2016-06-17,2016-08-13,Brandon Pearson,Amanda Brown,50.88506,4.07601,Denderleeuw,BE,Brussels,False,False,True,evasive
